 161 POTIGUAR III    66. 100.    3.68   5.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 223 PROSPERI III    56. 100.    0.77   3.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 241 PROSPERID II    37. 100.    1.83   3.73   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 147 PROSPERIDADE    28. 100.    3.12   2.59   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 170 SUAPE II       381. 100.    5.67   7.59   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  43 TERMOBAHIA     186.  86.    3.78  10.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 152 TERMOCABO       50. 100.    0.69   1.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  58 TERMOCEARA     223. 100.   16.01   4.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  67 TERMONE        171.  95.    1.76   0.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  69 TERMOPB        171.  95.    2.33   0.66   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  96 TERMOPE        550. 100.    1.64   3.31   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  83 VALE DO ACU    368.  84.    5.67  13.49   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 201 APARECIDA      166. 100.   12.81  11.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00  75.00  75.00 127.50 127.50 127.50 127.50
 260 AZULAO           0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 262 AZULAO II        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 263 AZULAO IV        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 322 BBF BALIZA       0.  94.    1.17   5.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 323 BONFIM           0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 203 C. ROCHA        85. 100.    1.00  20.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00  64.99  64.99  67.00  67.00  67.00   6.98
 324 CANTA            0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  73 GERAMAR I      166.  96.    0.29   0.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  70 GERAMAR II     166.  96.    0.40   0.32   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 325 HF S JOAQUIM     0. 100.    1.50   4.17   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 326 JAGUATIRI II     0. 100.    2.50   1.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 204 JARAQUI         75.  87.    4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  62.99  62.99  62.99  62.99  62.99   5.25
 327 M.CRISTO SUC     0.  96.    2.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 205 MANAUARA        73. 100.    2.50   0.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00  70.29  71.99  64.87  64.87  64.87   6.28
 264 MANAUS I         0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 212 MARANHAO III   519. 100.    4.10   1.83   0.00   0.00   0.00   0.00   0.00   0.00   0.00 469.87 490.00 480.63 480.63 480.63 239.82
  36 MARANHAO IV    338. 100.    1.31   0.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00   7.29   0.00   0.00   0.00   0.00   0.00
  21 MARANHAO V     338. 100.    1.43   1.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00   7.29   0.00   0.00   0.00   0.00   0.00
 140 MAUA 3         591.  97.    9.76   8.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00 264.00 264.00 312.82 354.48 278.86 465.42
  46 N.VENECIA 2    178. 100.    1.17   1.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.90   0.00   0.00   0.00   0.00  40.44
 240 NT BARCARENA     0. 100.    1.10   2.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 328 PALMAPLAN 2      0. 100.    0.91   1.36   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 116 PARNAIBA IV     56. 100.    5.04   1.33   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.23   0.00   0.00   0.00   0.00   0.00
 239 PARNAIBA V     365.  95.    2.60   1.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00   7.98   0.00   0.00   0.00   0.00   0.00
 329 PAU RAINHA       0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 207 PONTA NEGRA     73. 100.    2.50   0.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00  63.99  63.99  64.00  64.00  64.00  64.00
 176 PORTO ITAQUI   360. 100.    2.04   4.55   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 259 PORTOCEM I       0. 100.    1.50   2.18   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 330 SANTA LUZ        0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 209 TAMBAQUI        93.  71.    4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  62.99  62.99  62.99  62.99  62.99   5.25
